english_word,native_translation,definition_vi
page,trang; tờ giấy,"Một mặt của tờ giấy trong sách, tạp chí, báo chí, hoặc tài liệu khác; cũng có thể là một trang web (webpage)."
should,nên; lẽ ra,"Được dùng để đưa ra lời khuyên, gợi ý, hoặc để nói về điều gì đó đúng hoặc mong đợi."
country,quốc gia; nước; vùng (nông thôn),"Một khu vực địa lý xác định, thường có chính phủ của riêng mình; cũng có thể chỉ khu vực nông thôn, không phải thành phố."
found,đã tìm thấy; đã thành lập,"Quá khứ và phân từ hai của từ 'find' (nghĩa là phát hiện ra, tìm ra) hoặc là quá khứ của từ 'found' (nghĩa là thành lập)."
answer,câu trả lời; trả lời,"Một câu trả lời hoặc hành động đáp lại một câu hỏi, một vấn đề hoặc một yêu cầu."
school,trường học,Nơi trẻ em hoặc người lớn học tập và được dạy các môn học khác nhau.
grow,phát triển; trồng; lớn lên; mọc,"Tăng trưởng về kích thước, số lượng hoặc tầm quan trọng; trồng cây; trở nên lớn hơn."
study,học; nghiên cứu,"Quá trình học tập, tìm hiểu để hiểu biết thêm về một chủ đề hoặc kỹ năng."
still,vẫn; vẫn còn; đứng yên; lặng gió,"Tiếp tục xảy ra hoặc tồn tại; bất động; không chuyển động; tĩnh lặng."
learn,học,"Tiếp thu kiến thức, kỹ năng hoặc thông tin mới."
plant,cây; thực vật; trồng,"Một sinh vật sống phát triển ở mặt đất, thường có thân, lá và rễ. Cũng có nghĩa là đặt một thứ gì đó (như hạt giống, cây con) xuống đất để nó mọc."
cover,bìa; trang bìa; bọc; bao phủ; che đậy,"Phần ngoài của sách, tạp chí; hành động đặt hay trải cái gì đó lên trên hoặc xung quanh vật khác để bảo vệ, che giấu hoặc trang trí."
food,thức ăn; đồ ăn; thực phẩm,"Bất cứ thứ gì con người hoặc động vật ăn để sống và khỏe mạnh."
sun,mặt trời,"Ngôi sao trung tâm của hệ mặt trời, cung cấp ánh sáng và nhiệt cho Trái Đất."
four,bốn,"Số đếm sau số ba và trước số năm; tương ứng với chữ số 4."
between,giữa,"Ở vị trí hoặc khoảng không gian giữa hai người, vật hoặc địa điểm; hoặc dùng để chỉ mối quan hệ, sự lựa chọn giữa hai thứ."
state,tiểu bang; trạng thái; bang; tuyên bố,"Một vùng lãnh thổ có chính phủ riêng (như một tiểu bang của một quốc gia) hoặc tình trạng, điều kiện của cái gì đó tại một thời điểm cụ thể; cũng có nghĩa là chính thức nói hoặc viết điều gì đó."
keep,giữ; để; tiếp tục,"Giữ cái gì đó để bạn có nó; để cái gì đó ở một nơi cụ thể; tiếp tục làm một việc gì đó."
eye,mắt; con mắt,"Bộ phận của cơ thể để nhìn; cơ quan thị giác."
never,không bao giờ; chưa hề,"Không vào bất kỳ lúc nào; không trong bất kỳ trường hợp nào."
last,cuối cùng; cuối; sau cùng,Chỉ vị trí hoặc thời gian ở điểm cuối cùng của một loạt, chuỗi, hoặc khoảng thời gian. Hoặc, nghĩa là còn lại sau cùng.
let,để cho; cho phép,"Cho phép ai đó làm điều gì đó; không ngăn cản."
thought,suy nghĩ; ý nghĩ; quan niệm,"Một ý tưởng hoặc suy nghĩ được hình thành trong tâm trí."
city,thành phố,Một nơi lớn được xây dựng có người ở, lớn hơn thị trấn, thường có nhiều tòa nhà và cơ sở hạ tầng quan trọng.
tree,cây,"Một loại thực vật lâu năm lớn có thân gỗ đơn, thường có nhiều cành và lá, cao hơn bụi cây hoặc cỏ."
cross,ngang qua; chữ thập; dấu chéo,(Nghĩa động từ) Đi từ bên này sang bên kia. (Nghĩa danh từ) Dấu hình chữ X; biểu tượng hình cây thập tự giá.
farm,nông trại; trang trại,"Nơi trồng trọt cây cối hoặc nuôi động vật để lấy thức ăn hoặc các sản phẩm khác."
hard,khó khăn; cứng; chăm chỉ; vất vả,"Khó thực hiện hoặc khó hiểu; có bề mặt cứng không dễ bị biến dạng; cần nhiều nỗ lực; làm việc chăm chỉ, siêng năng."
start,bắt đầu; sự bắt đầu,"Hành động hoặc thời điểm bắt đầu một cái gì đó; điểm xuất phát."
might,có thể; có lẽ,"Được dùng để nói về khả năng điều gì đó sẽ xảy ra hoặc đúng sự thật, thường là ít chắc chắn hơn 'may'."
story,câu chuyện; truyện,"Kể về một chuỗi các sự kiện có thật hoặc tưởng tượng, thường được dùng để giải trí hoặc thông báo."
saw,đã thấy; cưa; cái cưa,"Quá khứ của động từ 'see' (nhìn thấy); cũng là danh từ chỉ dụng cụ có răng để cắt (gỗ, kim loại); động từ là dùng dụng cụ đó để cắt."
far,xa,"Chỉ một khoảng cách lớn về không gian hoặc thời gian."
sea,biển; biển cả,"Một vùng nước mặn lớn, bao phủ một phần lớn bề mặt Trái đất."
draw,vẽ; lôi kéo; rút thăm,"Tạo hình ảnh bằng bút chì hoặc bút mực; thu hút hoặc kéo cái gì đó về phía mình; chọn ngẫu nhiên một lá thăm hoặc con số."
left,trái; bên trái; còn lại; bỏ đi,"Chỉ phía đối diện với bên phải; cũng chỉ phần còn dư hoặc bị bỏ lại."
late,muộn; trễ; gần đây,"Xảy ra hoặc đến sau thời gian được mong đợi, lịch trình hoặc bình thường; hoặc chỉ một thời điểm hoặc sự kiện xảy ra gần đây."
run,chạy; sự chạy,"Di chuyển nhanh bằng chân, nhấc cả hai chân khỏi mặt đất trong mỗi bước; cũng có nghĩa là điều hành, quản lý hoặc hoạt động."
don't,không
while,trong khi; trong lúc; trong,"Trong khoảng thời gian mà một cái gì đó khác đang xảy ra; cũng có nghĩa là mặc dù, bất chấp."
press,báo chí; nhấn; ép; ấn; xoa bóp,"Hành động dùng lực đẩy vào cái gì đó; cũng chỉ các phương tiện truyền thông tin tức (báo, tạp chí, đài phát thanh, truyền hình)."
close,đóng; gần; thân,”Để chuyển cái gì đó từ mở sang đóng (ví dụ: cửa sổ, cửa ra vào, v.v.); cũng có nghĩa là ở một khoảng cách ngắn; hoặc chỉ mối quan hệ gần gũi, thân thiết.”
night,đêm; buổi đêm,"Khoảng thời gian từ lúc mặt trời lặn đến lúc mặt trời mọc, khi trời tối."
real,thật; thật sự; có thật,"Tồn tại như thực tế, không phải tưởng tượng hoặc giả tạo; chân thật."
life,cuộc sống; đời sống; sự sống,"Trạng thái tồn tại của con người, động vật và thực vật; hoặc toàn bộ thời gian một người, động vật hoặc thực vật sống."
few,vài; một ít; ít,"Một số lượng nhỏ người hoặc vật (thường không bằng mong đợi)."
north,phía Bắc; hướng Bắc,"Hướng đối diện với Nam, thường chỉ phía trên bản đồ."
open,mở; mở cửa; mở ra; cởi,"Trạng thái không đóng, không bị bịt kín hoặc không bị chặn lại; cho phép đi vào hoặc nhìn thấy bên trong; bắt đầu vận hành hoặc hoạt động."
seem,dường như; có vẻ như,"Để nói về điều gì đó xuất hiện hoặc cảm giác như thế nào, thường dựa trên ấn tượng hoặc hình thức bên ngoài."
together,cùng nhau; với nhau,"Chỉ sự ở cạnh hoặc làm việc cùng với người khác hoặc vật khác; cùng lúc."
next,tiếp theo; kế tiếp; bên cạnh,"Chỉ vật hoặc người đến ngay sau một cái khác về thời gian, thứ tự, hoặc vị trí."
white,trắng; màu trắng,"Có màu như tuyết hoặc sữa; hoặc chỉ một thứ gì đó có màu sắc đó."
children,trẻ em; con cái,"Những người còn nhỏ tuổi, chưa trưởng thành; hoặc chỉ con đẻ của bố mẹ."
begin,bắt đầu; khởi đầu,"Thực hiện hoặc bắt tay vào làm một việc gì đó; bắt đầu tồn tại hoặc xảy ra."
got,đã có; đã nhận được; đã","Quá khứ của động từ 'get', thường có nghĩa là 'đã nhận được', 'đã lấy được', 'đã đến', 'đã hiểu', hoặc 'đã trở nên'."
walk,đi bộ; cuộc đi dạo,"Hành động di chuyển bằng chân, bước từng bước; hoặc một chuyến đi ngắn bằng chân."
example,ví dụ; mẫu,"Một cái gì đó được đề cập hoặc được đưa ra để minh họa cho một cái gì đó khác; một kiểu mẫu điển hình."
ease,dễ dàng; làm dịu,"Trạng thái không khó khăn, không lo lắng hoặc không đau đớn; cũng là hành động làm cho một cái gì đó bớt khó chịu hoặc đơn giản hơn."
paper,giấy; tờ giấy; bài báo,"Vật liệu phẳng, mỏng, thường được làm từ bột gỗ, dùng để viết, in, vẽ hoặc gói đồ; cũng là một văn bản được viết hoặc in, đặc biệt là cho một bài học ở trường hoặc trường đại học, hoặc cho tờ báo."
group,nhóm; tập đoàn; đoàn,"Một số người hoặc vật được gom lại hoặc kết hợp với nhau; một tổ chức lớn gồm nhiều công ty nhỏ."
always,luôn luôn; luôn; lúc nào cũng,"Ở mọi lúc, mọi dịp; không bao giờ thay đổi hoặc ngừng lại."
music,âm nhạc,"Âm thanh được sắp xếp một cách có tổ chức và dễ chịu, thường dùng để hát hoặc chơi nhạc cụ."
those,những cái đó; những người đó; ấy,"Chỉ nhiều người hoặc vật ở xa người nói hoặc đã đề cập đến trước đó (số nhiều của 'that')."
both,cả hai; cả hai người/vật,"Chỉ hai người hoặc hai vật cùng lúc, không bỏ sót cái nào; cả hai đều."
mark,dấu; vết; đánh dấu,"Một ký hiệu hoặc vết hằn được tạo ra; hành động đặt ký hiệu hoặc vết hằn đó."
often,thường; thường xuyên,"Nhiều lần; lặp đi lặp lại."
letter,thư; bức thư; chữ cái,"Một thông điệp bằng văn bản được gửi cho ai đó qua đường bưu điện hoặc email; cũng là một ký hiệu trong bảng chữ cái dùng để viết từ."
until,cho đến khi; cho tới khi; đến khi,"Chỉ điểm kết thúc của một khoảng thời gian, hành động, hoặc trạng thái."
mile,dặm,"Đơn vị đo độ dài, thường dùng ở Anh và Mỹ, bằng khoảng 1.609 km."
river,sông,"Một dòng nước chảy tự nhiên, lớn và thường đổ ra biển, hồ hoặc sông khác."
car,xe hơi; ô tô,"Phương tiện giao thông đường bộ có động cơ, thường có bốn bánh và dùng để chở người."
feet,chân; bàn chân,"Bộ phận cuối cùng của chân người hoặc động vật dùng để đi lại và đứng."
care,chăm sóc; quan tâm; sự quan tâm,"Sự chú ý hoặc hành động bảo vệ ai đó hoặc cái gì đó; cảm giác lo lắng hoặc bận tâm về ai đó hoặc cái gì đó."
second,thứ hai; giây,"Đứng thứ hai trong một thứ tự; hoặc một đơn vị thời gian rất ngắn, bằng 1/60 của một phút."
book,quyển sách; đặt; ghi,"Một tập hợp các trang giấy viết hoặc in, được buộc lại để xuất bản; cũng có nghĩa là đặt chỗ trước hoặc ghi lại cái gì đó."
carry,mang; vác; khuân; chở,"Di chuyển ai đó hoặc cái gì đó từ nơi này sang nơi khác, thường bằng cách giữ hoặc đỡ."
took,đã lấy; đã mang; đã nắm giữ; đã chụp (ảnh),"Quá khứ đơn của động từ 'take', có nghĩa là cầm, nắm giữ, mang đi, hoặc thực hiện một hành động."
science,khoa học,"Hệ thống kiến thức về thế giới vật chất và tự nhiên, dựa trên quan sát và thử nghiệm."
eat,ăn,"Đưa thức ăn vào miệng và nhai rồi nuốt xuống."
room,phòng; buồng,"Không gian trống hoặc khu vực được ngăn cách trong một tòa nhà, thường có tường và cửa ra vào."
friend,bạn; người bạn,"Người mà bạn biết rõ và thích, và thường dành thời gian cùng họ."
began,đã bắt đầu; khởi đầu,Là thì quá khứ đơn của động từ "begin", có nghĩa là bắt đầu một hành động hoặc trạng thái.
idea,ý tưởng; ý nghĩ,"Một suy nghĩ hoặc gợi ý về một hành động có thể có hoặc được thực hiện."
fish,cá; câu cá,"Một loài động vật có xương sống, máu lạnh, sống dưới nước, có mang và vây; cũng có nghĩa là bắt cá."
mountain,núi; dãy núi,"Một khối đất tự nhiên nhô cao lên khỏi mặt đất xung quanh, thường có đỉnh nhọn và dốc."
stop,dừng; ngừng; điểm dừng,"Ngừng di chuyển, hoạt động, hoặc xảy ra; cũng là một nơi hoặc điểm mà xe cộ dừng đón/trả khách."
once,một lần; xưa kia; đã từng,"Chỉ việc xảy ra một lần hoặc vào thời điểm nào đó trong quá khứ không xác định."
base,căn cứ; cơ sở; đế; đáy,Phần dưới cùng hoặc phần nâng đỡ của một vật; điểm xuất phát hoặc nền tảng cho một cái gì đó.
hear,nghe; lắng nghe,"Nhận biết âm thanh bằng tai."
horse,ngựa; con ngựa,"Một loài động vật lớn có bốn chân, thường được con người sử dụng để cưỡi hoặc kéo."
cut,cắt; chặt; xén,"Chia hoặc tách một vật liệu ra làm hai hoặc nhiều phần bằng một dụng cụ sắc bén; cũng có nghĩa là làm giảm bớt hoặc ngừng thứ gì đó."
sure,chắc chắn; chắc rồi,"Tin tưởng hoặc biết điều gì đó là đúng; không nghi ngờ hoặc khó chịu."
watch,xem; đồng hồ đeo tay,"Nhìn vào cái gì đó trong một khoảng thời gian; hoặc một thiết bị đeo trên cổ tay để xem giờ."
color,màu sắc; màu,"Đặc tính của vật mà mắt nhận biết được do ánh sáng phản xạ vào, như đỏ, xanh dương, vàng, v.v."
face,mặt; đối mặt; đối diện,"Phần phía trước của đầu người hoặc động vật; cũng có nghĩa là đối diện hoặc đương đầu với điều hoặc tình huống nào đó (thường là khó khăn)."
wood,gỗ; khu rừng,"Vật liệu cứng lấy từ thân cây, thường dùng để đóng đồ hoặc xây nhà; hoặc là khu vực có nhiều cây cối mọc gần nhau."
main,chính,"Quan trọng nhất; chủ yếu; có quyền lực hoặc ảnh hưởng cao nhất."
enough,đủ,"Số lượng hoặc chất lượng vừa đủ cho mục đích cần thiết."
plain,đồng bằng; đơn giản; rõ ràng,"Ở mặt bằng phẳng, rộng lớn không có núi hoặc cây cối lớn (địa lý); dễ hiểu, không phức tạp, không có trang trí (miêu tả vật/cái gì đó)."
girl,cô gái; bé gái; bạn gái,"Một phụ nữ trẻ hoặc thiếu nữ; cũng có thể chỉ bạn gái của ai đó."
usual,thông thường; quen thuộc; bình thường,"Xảy ra, được dùng, hoặc tìm thấy nhiều lần; điển hình; phổ biến."
young,trẻ; trẻ tuổi; non; non nớt,"Có ít tuổi; đang ở trong giai đoạn đầu của cuộc đời, sự phát triển hoặc sự tồn tại."
ready,sẵn sàng,"Ở trong trạng thái chuẩn bị để làm điều gì đó hoặc để xảy ra điều gì đó."
above,ở trên; bên trên; vượt trên,"Chỉ vị trí cao hơn cái gì đó; cũng có thể chỉ điều gì đó tốt hơn hoặc cao cấp hơn."
ever,đã từng; bao giờ; luôn luôn,"Tại bất kỳ thời điểm nào trong quá khứ hoặc tương lai; dùng để nhấn mạnh."
red,đỏ; màu đỏ,"Màu của máu tươi hoặc quả dâu tây chín; màu cơ bản nằm ở cuối quang phổ có bước sóng dài nhất."
list,danh sách; liệt kê,"Một chuỗi các mục được liệt kê hoặc đối chiếu; hành động tạo ra hoặc bao gồm một danh sách."
though,mặc dù; dẫu cho; tuy nhiên,"Dùng để giới thiệu một mệnh đề đối lập hoặc bất ngờ, hoặc để thêm một ý kiến khác hoặc thông tin bổ sung."
feel,cảm thấy; cảm giác; sờ mó,"Trải nghiệm qua xúc giác hoặc cảm xúc."
talk,nói; nói chuyện; cuộc nói chuyện,"Trao đổi ý kiến hoặc thông tin bằng lời; hành động nói chuyện."
bird,chim; con chim,"Một loài động vật có xương sống máu nóng có cánh, lông và miệng là mỏ. Hầu hết chim có thể bay."
soon,sớm; ngay; chẳng mấy chốc,"Trong hoặc sau một thời gian ngắn; không lâu nữa."
body,thân thể; cơ thể,"Toàn bộ cấu trúc vật lý của người hoặc động vật, bao gồm xương, thịt và các bộ phận bên trong."
dog,con chó,"Một loài động vật có vú bốn chân, thường được nuôi làm thú cưng hoặc để làm việc (ví dụ: săn bắn, bảo vệ)."
family,gia đình; gia quyến,"Một nhóm người có quan hệ ruột thịt hoặc hôn nhân sống cùng nhau; cũng có thể bao gồm những người thân thiết khác."
direct,trực tiếp; thẳng thắn; chỉ đạo,"Đi theo đường thẳng, tới thẳng đích hoặc mục tiêu; cũng có nghĩa là trung thực, không giấu giếm; hoặc ra lệnh, hướng dẫn ai đó làm gì."
pose,đặt ra; tạo dáng; tư thế,"Để đặt hoặc giữ một vật gì đó ở một vị trí cụ thể; để tạo dáng cho một bức ảnh; chỉ một tư thế của cơ thể."
leave,rời đi; để lại; nghỉ phép; lá cây,"Rời khỏi một địa điểm hoặc tình huống; khiến một cái gì đó ở lại sau lưng; thời gian không làm việc được cho phép; phần màu xanh phẳng của cây."
song,bài hát; ca khúc,"Một đoạn nhạc có lời được sáng tác để hát."
measure,đo lường; thước đo; biện pháp; mức độ,"Hành động tìm kích thước, số lượng hoặc mức độ của vật gì đó; một dụng cụ để đo đạc; một hành động hoặc phương tiện để đạt được mục đích; một mức độ hoặc lượng."
door,cửa,"Lối vào hoặc ra của một tòa nhà, phòng, hoặc phương tiện giao thông, thường được gắn bản lề để mở và đóng."
product,sản phẩm,"Kết quả của một quá trình sản xuất hoặc chế tạo; thứ gì đó được làm ra để bán."
black,đen,"Có màu tối nhất do không phản xạ ánh sáng, màu đối lập với trắng."
short,ngắn; thấp; thiếu,"Có độ dài hoặc chiều cao nhỏ; chỉ sự thiếu hụt, không đủ."
numeral,số; chữ số,"Một ký hiệu hoặc từ đại diện cho một con số."
class,lớp; loại; hạng,"Một nhóm học sinh hoặc sinh viên học cùng nhau; một nhóm người hoặc vật có chung đặc điểm; một mức độ hoặc hạng chất lượng."
wind,gió; cuốn; cuộn,"Sự di chuyển của khối lượng không khí; cũng có nghĩa là quấn hoặc cuộn thứ gì đó lại."
question,câu hỏi; vấn đề; hỏi,"Một lời nói hoặc câu viết được dùng để hỏi ai đó về một điều gì; một vấn đề hoặc điều gì cần giải quyết hoặc cân nhắc; hành động đặt câu hỏi."
happen,xảy ra; xảy đến; diễn ra,"Xảy ra hoặc xảy đến một cách ngẫu nhiên hoặc theo kế hoạch; xuất hiện thực tế."
complete,hoàn thành; hoàn chỉnh; đầy đủ,"Làm xong hoặc hoàn tất một việc gì đó; cũng có nghĩa là đầy đủ, không thiếu thứ gì."
ship,tàu thủy; con tàu; vận chuyển bằng tàu,"Một phương tiện giao thông lớn đi lại trên mặt nước; cũng có nghĩa là gửi hàng hóa đi bằng tàu."
area,khu vực; vùng; diện tích,"Một phần của một nơi, tòa nhà hoặc đất đai; cũng có thể là phạm vi của một lĩnh vực hoặc chủ đề."
half,nửa; một nửa,"Một trong hai phần bằng nhau mà một cái gì đó được chia thành."
rock,đá; hòn đá; lắc lư,"Vật liệu rắn tự nhiên tạo thành vỏ Trái Đất; cũng có nghĩa là chuyển động qua lại hoặc từ bên này sang bên kia."
order,thứ tự; đơn đặt hàng; ra lệnh,"Chỉ sự sắp xếp các sự vật, người theo một trình tự nhất định; cũng là yêu cầu cung cấp hàng hóa hoặc dịch vụ; hoặc là sự chỉ đạo, mệnh lệnh."
fire,lửa; hỏa hoạn; đốt cháy; sa thải,"Ngọn lửa bừng cháy; đám cháy lớn không mong muốn; hành động dùng lửa làm cháy; việc buộc ai đó rời bỏ công việc."
south,phía nam; phương nam,"Hướng hoặc khu vực nằm đối diện với phía bắc."
problem,vấn đề; rắc rối,"Một tình huống khó khăn cần được giải quyết hoặc vượt qua."
piece,miếng; mẩu; cục; mảnh; quân cờ,"Một phần của thứ gì đó lớn hơn đã bị chia nhỏ hoặc tách ra; cũng có thể là một vật thể riêng lẻ trong một bộ hoặc một nhóm (như quân cờ)."
told,đã nói; được kể,"Quá khứ đơn và quá khứ phân từ của động từ 'tell', có nghĩa là nói cho ai đó biết điều gì đó hoặc thuật lại một câu chuyện."
knew,đã biết; hiểu,"Dạng quá khứ đơn của động từ 'know', nghĩa là có kiến thức hoặc hiểu biết về điều gì đó hoặc ai đó."
pass,vượt qua; trúng tuyển; chuyền; đèo; đường đi,"Đi qua một cái gì đó hoặc ai đó; hoàn thành thành công một bài thi hoặc thử thách; đưa bóng (trong thể thao); chỉ một lối đi qua núi."
since,vì; kể từ khi,"Từ nối hoặc giới từ, dùng để chỉ nguyên nhân hoặc lý do cho hành động, hoặc để chỉ  một điểm thời gian nhất định trong quá khứ mà từ đó một điều gì đó vẫn tiếp diễn."
top,đỉnh; trên cùng; áo,"Phần cao nhất của một vật; bề mặt phía trên; mục hàng đầu; một loại áo (thường là áo nữ)."
whole,toàn bộ; toàn thể; cả,"Chỉ toàn bộ, đầy đủ, không thiếu hoặc không bị chia cắt; hoàn chỉnh."
king,vua,"Người cai trị cao nhất của một vương quốc, thường theo chế độ cha truyền con nối."
space,không gian; khoảng trống,"Một khu vực trống rỗng hoặc một khoảng; cũng chỉ khu vực bên ngoài bầu khí quyển Trái Đất, nơi có các hành tinh và ngôi sao."
heard,đã nghe; nghe thấy,"Dạng quá khứ và phân từ của động từ 'hear', có nghĩa là nhận biết âm thanh bằng tai."
best,tốt nhất; hay nhất,"Ở mức độ cao nhất về chất lượng, sự xuất sắc hoặc hiệu quả."
hour,giờ; tiếng,"Đơn vị đo thời gian bằng 60 phút."
better,tốt hơn; hay hơn; hơn,"Có chất lượng hoặc tiêu chuẩn cao, thỏa đáng, hiệu quả hoặc phù hợp hơn; hoặc đang phục hồi sức khỏe."
true,đúng; thật; chân thật,"Đúng với thực tế hoặc sự thật; không sai hoặc không giả dối."
during,trong suốt; trong khi,"Trong khoảng thời gian xảy ra một sự kiện hoặc hành động nào đó."
hundred,trăm; một trăm,"Số hoặc lượng tương ứng với tích của mười nhân với mười."
five,năm,"Số hoặc lượng tương đương với 5 đơn vị."
remember,nhớ; ghi nhớ; hồi tưởng,Khả năng nhận biết, gợi nhớ, nhớ lại thông tin hoặc kinh nghiệm đã có từ trước trong trí óc.
step,bước; bước chân,"Một hành động nhấc và đặt chân xuống để di chuyển; cũng là một giai đoạn hoặc hành động trong một quá trình."
early,sớm,"Xảy ra hoặc được thực hiện trước thời gian bình thường hoặc thời gian dự kiến."
hold,cầm; giữ; nắm giữ,"Giữ hoặc mang thứ gì đó bằng tay hoặc bằng cách khác; giữ một vật ở một vị trí hoặc trạng thái cụ thể."
west,hướng Tây; phía Tây,Một trong bốn phương chính trên la bàn, đối diện với hướng Đông, nơi mặt trời lặn.
ground,mặt đất; nền đất; đất; lý do,"Bề mặt cứng của Trái Đất; đất đai; cũng có nghĩa là lý do hoặc cơ sở cho một cái gì đó."
interest,sở thích; sự quan tâm; tiền lãi,"Hoạt động hoặc chủ đề mà bạn thích và muốn tìm hiểu thêm (sở thích); sự chú ý hoặc sự mong muốn tìm hiểu về cái gì đó (sự quan tâm); số tiền bạn kiếm được từ việc gửi tiền hoặc phải trả khi vay tiền (tiền lãi)."
reach,đạt tới; với lấy; tầm với,"Đi tới nơi nào đó; đưa tay ra để chạm vào hoặc lấy một vật; khoảng cách có thể tới được hoặc vươn tới được."
fast,nhanh; mau lẹ; chặt,"Di chuyển hoặc xảy ra một cách nhanh chóng với tốc độ cao; cũng có nghĩa là được giữ chặt."
verb,động từ,"Một loại từ chỉ hành động, sự việc, trạng thái hoặc quá trình."
sing,hát; ca hát,"Tạo ra âm nhạc bằng giọng nói, thường là lời bài hát."
listen,nghe,"Sử dụng tai để tiếp nhận âm thanh."
six,sáu; số sáu,"Con số đứng sau năm và trước bảy; biểu tượng bằng chữ số '6'."
table,bàn; cái bàn,"Một đồ nội thất với mặt phẳng được nâng đỡ bằng chân, dùng để đặt đồ vật lên trên hoặc dùng khi ngồi ăn/làm việc."
travel,đi du lịch; du lịch; đi lại,"Di chuyển từ nơi này đến nơi khác, thường là quãng đường dài hoặc đến một nơi thú vị."
less,ít hơn; kém hơn,"Chỉ số lượng, mức độ hoặc giá trị nhỏ hơn; ngược lại với 'more'."
morning,buổi sáng; sáng sớm,"Phần đầu của một ngày, từ lúc mặt trời mọc hoặc khoảng 6 giờ sáng đến trưa."
ten,mười,"Số tự nhiên đứng sau số chín và trước số mười một."
simple,đơn giản; dễ hiểu,"Dễ hiểu, không phức tạp hoặc cầu kỳ; không khó khăn."
several,vài; một vài; vài cái; vài người,"Chỉ một số lượng nhỏ hơn 'manh' nhưng lớn hơn 'một', không xác định rõ là bao nhiêu."
vowel,nguyên âm,Một âm thanh lời nói được tạo ra bằng cách để không khí đi qua phổi và ra ngoài miệng mà không bị chặn bởi lưỡi, răng hoặc môi; một chữ cái đại diện cho âm thanh đó (a, e, i, o, u).
toward,về phía; hướng về,"Chỉ sự di chuyển hoặc định hướng đi về phía một người, vật hoặc nơi nào đó."
war,chiến tranh; cuộc chiến,"Xung đột vũ trang giữa các quốc gia hoặc nhóm người; tình trạng thù địch giữa hai hoặc nhiều bên."
lay,đặt; để; đẻ trứng,"Đặt một vật ở vị trí nằm ngang; đối với chim hoặc động vật thì có nghĩa là đẻ trứng."
against,chống lại; phản đối; dựa vào,"Chỉ sự phản kháng, đối lập, hoặc chống lại một thế lực, người, ý kiến; cũng có nghĩa là dựa vào một bề mặt."
pattern,mẫu; kiểu; hình mẫu; mô hình,"Một sự sắp xếp các yếu tố lặp lại theo một cách có thể dự đoán được; một thiết kế hoặc mô hình lặp lại."
slow,chậm; từ từ,"Có tốc độ thấp, diễn ra hoặc di chuyển không nhanh; thực hiện một hành động dần dần, không vội vã."
center,trung tâm; giữa; tâm điểm,"Điểm giữa của một cái gì đó; nơi tập trung hoạt động hoặc sự chú ý."
love,yêu; tình yêu; thích,"Cảm giác yêu mến sâu sắc hoặc đam mê; cũng có nghĩa là rất thích một cái gì đó hoặc ai đó."
person,người; cá nhân,"Một con người; một cá thể riêng biệt."
money,tiền; tiền bạc,"Vật (thường là giấy hoặc kim loại) được dùng để mua hàng hóa và dịch vụ."
serve,phục vụ; dùng; làm việc,"Thực hiện nghĩa vụ hoặc cung cấp dịch vụ cho ai đó hoặc một tổ chức; cũng có nghĩa là dùng thức ăn hoặc đồ uống cho người khác."
appear,xuất hiện; có vẻ; dường như,"Trở nên có thể nhìn thấy được; hoặc có vẻ như đúng, có thật."
road,đường; con đường,"Một dải đất được xây dựng để xe cộ hoặc người đi lại."
map,bản đồ; sơ đồ,"Một bức vẽ bề mặt Trái đất hoặc một phần của nó, thể hiện các địa điểm như thành phố, sông ngòi, núi non."
rain,mưa,"Nước rơi xuống từ mây dưới dạng giọt."
rule,quy tắc; luật lệ; cai trị,"Một bộ hướng dẫn hoặc quy định về cách thức làm một điều gì đó hoặc về hành vi được chấp nhận; cũng có nghĩa là kiểm soát và quản lý một quốc gia hoặc khu vực."
govern,cai trị; quản lý; chi phối,"Điều khiển và chỉ huy công việc công cộng của một đất nước, khu vực hoặc thành phố; kiểm soát hoặc có ảnh hưởng quyết định đến cái gì đó."
pull,kéo; giật,"Dùng lực để di chuyển vật gì đó về phía mình hoặc về hướng cụ thể."
cold,lạnh; rét; cảm lạnh,"Có nhiệt độ thấp; liên quan đến việc thiếu nhiệt; cũng chỉ tình trạng sức khỏe khi bị cảm lạnh."
notice,nhận thấy; thông báo,"Nhìn thấy, nghe thấy hoặc trở nên biết về một điều gì đó; một mảnh giấy in hoặc viết cung cấp thông tin."
voice,giọng; tiếng nói; lời nói,"Âm thanh phát ra từ miệng khi nói hoặc hát; khả năng nói hoặc hát; ý kiến hoặc cảm xúc được diễn đạt."
unit,đơn vị; bộ phận,"Một lượng chuẩn được sử dụng để đo lường; một nhóm hoặc bộ phận của một tổng thể lớn hơn."
power,sức mạnh; quyền lực; năng lượng,"Khả năng làm điều gì đó hoặc tác động đến người khác; khả năng kiểm soát hoặc ảnh hưởng; cũng là năng lực vật lý hoặc cơ học."
town,thị trấn; thị xã,"Một nơi nhỏ hơn thành phố, thường có chợ và các tiện ích công cộng."
fine,tốt; khỏe; ổn; tiền phạt; phạt tiền,"Nghĩa tính từ chỉ sự xuất sắc, chấp nhận được, hoặc sức khỏe tốt. Nghĩa danh từ chỉ khoản tiền phải trả để trừng phạt. Nghĩa động từ chỉ việc bắt phải trả một khoản tiền phạt."
certain,chắc chắn; một số; riêng biệt,"Tin chắc về điều gì đó; hoặc dùng để chỉ một người, vật, sự việc không được xác định rõ nhưng có tồn tại."
