english_word,native_translation,definition_ja
numeral,数字; 数詞,"数を表す記号や単語。"
class,クラス; 授業; 種類,"学校での授業や集団。人や物の種類や階級。"
wind,風,"空気の流れ。自然現象の一つ。"
question,質問; 問題,"尋ねることによって情報を得ようとする言葉や、解決する必要がある事柄。"
happen,起こる; 生じる,"何かが発生すること。偶然や必然によって物事が起きること。"
complete,完了する; 完全な,"全てが揃っていて、不足している部分がない状態。または、何かを全て終えること。"
ship,船,"水上を移動する大きな乗物。人や物を運ぶのに使う。"
area,地域; 範囲,特定の場所や広がり。活動や知識の範囲を示すこともある。
half,半分; 半ば,"全体を二等分したうちの一つ。通常、面積、量、数などの半分を指す。"
rock,岩; 石; ロック,"硬い物質でできた地面の一部、または砕かれたもの。また、ポピュラー音楽の一つのジャンル。"
order,順序; 注文; 命令,"物事が配列されている特定の配置や последовательность。購入したいものを依頼すること。誰かが何をすべきかを示す指示。"
fire,火; 火災; 発砲する,"何かが燃えるときに生じる熱、光、煙。建物や森林などが燃えること。銃などから弾を撃つこと。"
south,南,"東西南北の四つの基本的な方角の一つで、北の反対側。"
problem,問題,"解決が必要な困難な状況や事柄。"
piece,一片; 部分; 欠片,"全体の一部を構成するもの。物の破片や、数えられるものの一つ。"
told,告げた; 言った,"tellの過去形、過去分詞。誰かに何かを話したり、知らせたりすること。"
knew,知っていた," know の過去形。何かについて情報を持っていたり理解していたりする状態。"
pass,通り過ぎる; 手渡す; 合格する; 経過する,"人や物を通り越すこと。何かを他の人に渡すこと。試験などに成功すること。時間が経つこと。"
since,〜以来; 〜なので,"過去のある時点から現在まで続いていることを示す。理由や原因を示す。"
top,一番上; 頂上; 最高,「最も高い場所や位置。物事の最高の状態やレベル。」
whole,全体の; 全部; 全て,"完全な、または欠けがない状態のこと。あるもののうち、一切合切を指す。"
king,王; 国王,"国の男性の支配者。"
space,宇宙; 空間,"地球などの天体が存在する広大な領域。また、物と物の間の空いている場所や範囲。"
heard,聞いた,"聞く（hear）の過去形または過去分詞形。音を耳で捉えたことを示す。"
best,最も良い; ベスト,"優れている、または最も適している品質。最高のもの。"
hour,時間; 1時間,"1日の24分の1に当たる時間の単位。"
better,より良い; もっと良い,"より優れた、またはより望ましい状態や品質のこと。"
true,本当の; 真実の,"事実に基づいている、または偽りなく正確であることを示す。"
during,〜の間,"特定の期間中に行われていることや、その期間で起こっていることを示す。"
hundred,百,"数の単位で、10を10回集めた数。"
five,五,"数字で、4の次に来る数。"
remember,覚えている; 思い出す,"過去の出来事や情報を頭の中に保持している状態、またはそれを呼び起こすこと。"
step,一歩; 段階; 手順,"歩くときに足を動かすこと。また、目標達成のための段階や手順。"
early,早い; 早く,"期待される時間や通常の時間より前であること。または、そのような時間に行うこと。"
hold,持つ; 保持する; 開催する,"何かを手に持ったり、支えたりする。イベントなどを開催することも意味する。"
west,西,"四つの方角の一つで、太陽が沈む方角。東の反対。"
ground,地面; 土地,"地球の固体の表面。物の土台や根拠となるもの。"
interest,興味; 関心; 利子,"何かを知りたいと思う気持ち。または、お金を貸したり預けたりすることで得られる追加の金額。"
reach,届く; 到達する,"手や物を使って何かに触れること、または目的地や目標にたどり着くこと。"
fast,速い,"スピードが速い、動作が迅速であることを示す形容詞または副詞。"
verb,動詞,"人や物の動作、状態、または存在を示す品詞。"
sing,歌う,「声を出して音楽を表現する行為。歌を歌うこと。」
listen,聞く; 聴く,"音を意識して聞くこと。耳を澄ませて注意を払うこと。"
six,六; 6,"数字の5の次に来る整数。"
table,テーブル; 食卓; 表,"食事をしたり、物を置いたりするために使われる平らな表面を持つ家具。データなどを整理して示すための形式（数学など）も指す。"
travel,旅行する; 旅,"ある場所から別の場所へ移動すること。特に遠隔地や海外に。"
less,より少ない; もっと少なく,"量や程度が低いこと、または足りないことを示す。"
morning,朝,"一日の始まり、夜明けから昼頃までの時間。"
ten,十,"0から始まる自然数で、9の次に来る数。"
simple,簡単な; 単純な,"複雑でない、わかりやすい、または難しくない様子。"
several,いくつかの; 数人の,"3つ以上の、しかし多すぎない数を表す。"
vowel,母音,"発音時に気流が塞がれずに口から出る音。"
toward,〜の方へ; 〜に向かって,"方向、目標、または目的に対する動きや態度を示す。"
war,戦争,"国家間や集団間での武力を用いた大規模な争い。"
lay,置く; 横たえる,"物事を平らな場所に置く。人が休息するために横になること。"
against,〜に反対して; 〜に対して,"何かや誰かに反対する立場や行動を示す。また、〜にぶつかる、寄りかかるという意味もある。"
pattern,パターン; 模様; 型,"繰り返される形状、デザイン、配列、または行為。何かを行うための決まった方法。"
slow,遅い,"動作や速度がゆっくりであること。"
center,中心; 中央,"物事の真ん中の点や場所。または、活動や注意が集中する場。"
love,愛; 恋; 大好き,"深い愛情や情熱の感情。何かや誰かを非常に好むことも意味する。"
person,人; 人物,"身体、思考、意志を持つ個々の人間を指す。"
money,お金; 金銭,"物を買ったりサービスを受けたりするために交換される、政府によって発行された通貨や硬貨。"
serve,仕える; 供給する; 提供する,"人や組織に奉仕する、食事や飲み物を出す、または目的を果たす。"
appear,現れる; 見える,"隠れていたものが見えるようになること。または、特定の方法で人や物に見えること。"
road,道; 道路,"人や乗り物が通るように作られた表面。場所から場所へ行くための通路。"
map,地図,"地球の表面や一部を平面上に描いたもの。"
rain,雨,"空から降る水のしずく。降水の一種。"
rule,規則; 定規; ruling,"従うべき行動規範や原則。まっすぐな線を引くための道具。統治や支配すること。"
govern,統治する; 支配する,"国や地域、組織などを公式にまたは権威をもって支配すること。ルールや法律を設定し、維持すること。"
pull,引く; 引っ張る,"手や力を使って何かを自分の方や、ある方向へ動かすこと。"
cold,寒い; 冷たい; 風邪,"低い温度であること。人が感じる寒さ、または物の冷たさ。また、鼻水や咳などの症状を伴う病気。「風邪」という意味でも使われる。"
notice,通知; 気づく,"何かの存在や起こっていることに気づくこと。または、公式な情報や警告を伝える文書やサイン。"
voice,声; 音声,"人や動物がのどから出す音。話したり歌ったりする際に使用される。"
unit,単位; 個,"測定の基準、または全体を構成する個々の部分。"
power,力; 権力; 電力,"物理的な強さ、影響を及ぼす能力、または電気エネルギー。"
town,町; 市街,"比較的小さな、または中くらいの規模の居住地域の集まり。"
fine,良い; 元気な; 細かい,"質や状態が良いこと。健康な状態であること。細かい粒や粒子であることや、薄いことなども意味する。"
certain,一定の; 確かな,"疑いなく事実であること、または確信していること。また、特定の、決まった、あるいは限られたものを指す。"
fly,飛ぶ; 飛行する; ハエ,"空を移動する。または、二枚の羽を持つ小さな昆虫。"
fall,落ちる; 秋,"高いところから低いところへ移動する、または地面に倒れること。または、夏季と冬季の間の季節（秋）。"
lead,導く; 率いる; 主要な; 鉛,"先頭に立って案内する。また、グループを率いる。主要な役割や位置を占める。金属元素の一種。"
cry,泣く; 叫ぶ,"涙を流す。または、恐れ、怒り、興奮などの強い感情で大声を出す。"
dark,暗い; 闇; 暗闇,"光が少ない、または全くない状態。色が濃く、光を反射しない状態。"
machine,機械; 機械装置,"動力を利用して特定の作業を行うように設計された装置。"
note,メモ; 注意; 音符,"後で見返すための短い文章や印。何かを気にかけること。音楽における音の高さや長さ。"
wait,待つ; 待機する,"何かが起こるまで、あるいは誰かや場所が到着するまで動かないでいること。"
plan,計画; 予定; 企画,_何かをするための詳細な案やプログラム。将来の行動をあらかじめ考えること。
figure,数字; 姿; 図,"人や物の形や外見。数や量を表す記号。図やグラフ。"
star,星,"空に見える、光り輝く天体。特に夜に見えるものを指す。"
box,箱; ボックス,"物、特に入れ物や包装物をしまったり運んだりするための、典型的には四角い容器。"
noun,名詞,"人、場所、物、または概念の名前として機能する単語。"
field,野原; 分野; 競技場,"広くて開けた土地。特定の学問や活動の領域。スポーツの競技が行われる場所。"
rest,休息; 休憩; 残り,"活動を中断して体力や精神を回復すること。または、全体から一部を取り除いた後の残りの部分。"
correct,正しい; 訂正する,"間違いがなく正確であること。または、間違っているものを正しく直すこと。"
able,〜できる,"何かを行う能力がある、または行うことができる。"
pound,ポンド; 叩く,"重さの単位（約453.59グラム）またはイギリスやその他の国で使われる通過単位。また、重く打ちつける動作も意味する。"
done,終わった; 終了した,"何かを完了した、または成し遂げた状態。to do の過去分詞。"
beauty,美しさ; 美,"美しいこと、または感覚に喜びを与える性質。特に見た目の魅力を指す。"
drive,運転する; 駆り立てる,"車両を操作して移動させること。また、人や物をある状態に強い力で動かすこと。"
stood,立った,"stand（立つ）の過去形および過去分詞。"
contain,含む; 入っている,"あるものの中に何かが入っている、または含んでいる状態を表す。"
front,前; 正面,"物の前部、または向いている方向のこと。対義語は「back」（後ろ）。"
teach,教える,"知識やスキルを他の人に伝える行為。"
week,週,"月曜日から日曜日までの7日間の期間。"
final,最後の; 最終的な,"物事の終わりにある、または最後の部分であること。"
gave,与えた; あげた,"giveの過去形。何かを他人に渡した、または与えた状況を示す。"
green,緑; 青,'植物の色や、成熟していない果物の色。環境保護や未経験などを表すこともある。'
oh,ああ; おや; へえ,"驚き、痛み、喜び、悲しみ、考えが浮かんだときなどに発する感嘆の声。"
quick,素早い; 速い,"動作や行動が非常に速いこと。"
develop,開発する; 発展する,"新しいものを作り出したり、大きくしたり、改善したりすること。"
ocean,海; 大洋,"地球の表面の大部分を覆う広大で塩分のある水の塊。"
warm,暖かい; 温かい,"心地よい温度で、熱すぎず冷たすぎない状態。愛情や親切心を示す形容詞としても使われる。"
free,無料の; 自由な,"束縛されていない状態。また、料金がかからないこと。"
minute,分,"時間の単位で、1時間の60分の1。会議などの議事録を指すこともある。"
strong,強い,"物理的に力があること。精神的に堅固であること。味や香りが濃厚であること。"
special,特別な; 特殊な,"他とは異なる、またはより重要で珍しい。特別な目的や機能のために設計されていることも指す。"
mind,心; 精神; 気,"思考や感情の中心となる部分。考えたり感じたりする能力。"
behind,〜の後ろに; 遅れて,"場所や順番において何かの後方に位置すること。また、進捗や時間に関して遅れている状態を示す。"
clear,明確な; 澄んだ; 片付ける,"理解しやすい、または障害がない状態。また、不要なものを取り除くこと。"
tail,しっぽ,"動物の体の後端についている部分。何か物の端や最後尾も指す。"
produce,生産する; 作る; 農産物,"何かを作り出す行為。また、栽培されて販売される農産物。"
fact,事実; 真相,"実際に起こったことや、存在することが証明されていること。"
street,通り; 街路,"家や建物の間にあり、車両や人が通るための舗装された道。"
inch,インチ,"長さの単位。1フィートの12分の1。"
multiply,掛ける; 増やす,"数と数を合わせてその合計を求めること、または数や量が増えることを意味します。"
nothing,何もないこと; 無,"全く存在しない状態や物。価値や重要性のないことも指す。"
course,コース; 講座,"特定の方向、経路、または一連の出来事。また、学習や訓練のための連続した授業。"
stay,泊まる; 滞在する,"ある場所に一時的にとどまること。または、現在の状態や位置を維持すること。"
wheel,車輪; ハンドル,"円形で回転する、物体の運動や移動を助ける装置。車の運転に使うハンドルも指す。"
full,いっぱいの; 満員の,"容量の最大限まで満たされている状態。または、何かが多く存在している状態。"
force,力; 強制する; 軍隊,"人や物を動かしたり押したりする物理的な力。または、何かを無理やり行わせることやその集団のこと。"
blue,青; 青色,"色の名前の一つで、空や海の色。"
object,物; 対象,"物体や対象となるもの。目標や目的、または批判や反対の対象となることも意味する。"
decide,決める; 決定する,"複数の選択肢の中から一つを選ぶこと。"
surface,表面; 地表,"物体の外側または一番上の部分。水や地球などの外側の層も指す。"
deep,深い,"表面から遠くまで広がっていること。または、程度が強いことや内容が複雑なこと（感情、考えなど）。"
moon,月,"地球の周りを回る天然の衛星。夜空に見える明るい天体。"
island,島,"四方を水に囲まれた陸地。"
foot,足; 脚,"体の末端にある、歩くための部分。また、測定単位の一つで、約30.48センチメートル。"
system,システム; 制度,"相互に関連する部分から成り、特定の機能や目的を持つ全体。または、社会的な組織や仕組み。"
busy,忙しい,"することが多くて、時間がなく、働いている状態。"
test,テスト; 試験,"知識や能力を測るための検査。"
record,記録; 成績; レコード,"過去の出来事や事実を書面に残すこと。スポーツなどの成績。"
boat,ボート; 舟,"水上を浮かぶための小さな乗り物。"
common,普通の; 共通の,"多くの人や物にあてはまる、または共有されていること。一般的であること。"
gold,金,"貴金属の一種。光沢があり、非常に価値が高いことで知られ、装飾品、通貨、工業用途に使われる。"
possible,可能な; できる,"起こりうる、または実行できる状態であること。"
plane,飛行機; 平ら,"空を飛ぶ乗り物。または、平らで水平または傾斜のある表面。"
stead,代わりに; 援助,"〜の代わりに（in stead of の形で）。また、助けや援助を意味することも。"
dry,乾いた; 干す; 乾燥した,"水分が少ない、または全くない状態。水分を取り除くこと。"
wonder,驚き; 不思議,"驚嘆や感動の感情。また、不思議なことや人について考えること。"
laugh,笑う,"面白さや喜びなどを感じて、口を開け声を立てる行動。"
thousand,千; 多数,"1000という数を表す；または漠然と非常に多くの数を表す。"
ago,〜前,"過去のある時点から現在までの期間を示す。"
ran,走った,"run（走る）の過去形。速く移動したことを示す。"
check,確認する; 点検する; 小切手,"何かを正しいか、または期待通りか調べること。支払いのため銀行に提出する書面。"
game,ゲーム; 試合,"娯楽や競争のために、設定されたルールに従って行われる活動。コンピュータゲーム、ボードゲーム、スポーツなどが含まれる。"
shape,形; 形状,"物体の外面的な輪郭や構造。または、何かの決まった形にする行為や状態。"
equate,等しいとする; 同等に扱う,"二つ以上のものを同じ価値や重要性を持つと見なすこと。"
hot,熱い; 暑い,"温度が高いこと。体温や気温が高いと感じられる状態。"
miss,見逃す; 乗り損ねる; 寂しく思う,"何かを逃したり、機会を失ったりすること。また、いない人や失われたものを寂しく感じること。"
brought,持ってきた,"持ってくる（bring）の過去形および過去分詞形。何かをある場所から別の場所に移動させたことを示す。"
heat,熱; 加熱する,物の温度が高い状態、または物を温めること。
snow,雪,"大気中の水分が凍結して地上に降る結晶状のもの。"
tire,タイヤ; 疲れさせる,"車や自転車などの円形のゴム製部品。人や物を疲労させることも意味する（動詞として使用される場合）。"
bring,持ってくる; 連れてくる,"物や人を自分のいる場所に移動させること。または何かをもたらしたり引き起こしたりすること。"
yes,はい,"賛成、肯定、または確認を示す言葉。"
distant,遠い,"時間的、空間的に離れていること。"
fill,満たす; 詰める,"容器などを物でいっぱいにする。または、空いている場所や時間を埋める。"
east,東; 東方,"日の昇る方角。方角の一つ。"
paint,絵の具; ペンキ; 塗料,"色をつける液体で、塗ることで表面を保護したり装飾したりするもの。"
language,言語,"話したり書いたりする際に、互いにコミュニケーションするために使われる体系的な言葉の集合。"
among,〜の中に（囲まれたもの）; 〜の間で; 〜の中で（多数の中から）,"複数のものに囲まれている状態や、複数の人や物の一部であることを示す。"
grand,壮大な; 素晴らしい; 主要な,"非常に大きい、印象的な、または重要なさま。"<<ETD>>壮大な計画。"<<ETD>>素晴らしい景色。
ball,ボール,"球状のもの。特に、スポーツなどで使われる。"
yet,まだ; しかし; それでも,"時間的にまだ起こっていないこと、または期待されていることが起こっていないことを示す。逆接の意味で使われることもある。"
wave,波; 振る,"水面にできる動き。また、手を振って挨拶や合図をすること。"
drop,落ちる; 落とす; 滴,"高い所から下に動くこと、または何かを下に落とすこと。液体の滴を示すこともある。"
heart,心臓; 心,"人間の体の内部にある、血液を循環させる器官。感情や精神の中心としても使われる。"
am,〜である,"be動詞の一人称単数現在形。「私は〜である」「私は〜にいる」などのように、主語と補語を結びつけたり、存在を示したりする。"
present,プレゼント; 現在; 提示する,"贈り物、今いる時間、または見せたり与えたりすること。"
heavy,重い,重量が大きい、または多くの力が必要な状態。
dance,踊る; ダンス,"動きとリズムに合わせて体を使って行う芸術または活動。"
engine,エンジン,"車や機械などを動かすための動力源。"
position,位置; 地位; 役職,"人や物が置かれている場所、または組織や社会での重要性や役割。"
arm,腕; 武器,"肩から手首までの体の一部。または、戦闘に使用される道具。"
wide,広い,"一端からもう一端までの距離が大きいこと。広い範囲にわたること。"
sail,帆; 航海する,"風を受けて舟を進めるための布。または、舟で水上を進むこと。"
material,材料; 素材; 物質,"何かを作るのに使われるもの。生地などの服の素材や、研究対象の物質などを指す。"
size,大きさ; サイズ,"物事の寸法、ひいては規模や重要度を示す。"
vary,変わる; 様々である,"状況や条件によって異なる状態になること。範囲を持って変化すること。"
settle,解決する; 定住する,"論争や問題に結論を出す、またはある場所に永続的に住み始める。"
speak,話す; しゃべる,"言葉を使って考えや気持ちを伝える行為。言語を用いること。"
weight,重さ; 体重,"物体が持つ重力によって下向きにかかる力、または物質の量。特に生物では体の重さ。"
general,一般的な; 全体の; 大半の,"広範囲にわたる、特定の分野に限られない、または大多数に共通するさま。軍隊の階級で最高位に近い役職を指すこともある。"
ice,氷; アイス,"水が凍結して固体になったもの。"
matter,事; 問題; 重要である,"物事や状況。解決する必要のある問題。何かが重要であること。"
circle,円; 丸; 輪,"中心から等距離にあるすべての点を集めた平面図形。または、何かが丸い形や輪の形をしていること。"
pair,ペア; 一組; 夫婦,"二つで一つとなるもの、特に靴下やイヤリングなど同じ種類の二つのもの。また、男女の二人組。"
include,含む; 含める,"全体の一部として何かを持つことや、リストやグループに入れること。"
divide,分ける; 分割する; 割る,"全体をいくつかの部分に分けたり、グループに分けたりすること。また、数を等しい部分に分けること。"
syllable,音節,"単語の発音の単位。通常、母音を一つ含んでいる。"
felt,フェルト,"フェルト、または感じるの過去形・過去分詞形。"
perhaps,たぶん; おそらく,"不確実性を示す副詞。「おそらく」「もしかすると」という意味で使われる。"
pick,選ぶ; 摘む,"多数の中から一つまたは複数を選び出す。手で物（特に果物や花など）を摘み取る。"
sudden,突然の; 急な,"予想していなかった、または急に起こる様子。"
count,数える; 計算する,"数や量を一つずつ確かめること。計算で合計を出すこと。"
square,四角; 正方形,"四つの辺の長さがすべて等しく、四つの角がすべて直角である図形。"
reason,理由,なぜ何かが起こるのか、または誰かが何かをするのかの根拠または説明。
length,長さ,"物や空間の一端からもう一端までの距離。時間の長さも指す。"
represent,代表する; 表現する,"特定の集団や思想などを代弁する、またはそれらを象徴的に示すこと。"
art,芸術; 美術; アート,"創造的な技能や想像力を使って、絵画や音楽、文学などの形で何か美しいものや感情を表現すること。"
subject,主題; 被験者; 科目,"議論や研究の対象となるもの、または学ばれる専門分野。心理学の実験などにおける被験者も指す。"
region,地域; 地方,"ある特定の範囲または区域。"
energy,エネルギー,"活動や仕事を行う能力。体力や気力。"
hunt,狩る; 狩り,"動物などを追いかけて捕まえること。または、何かを探し回ること。"
probable,可能性の高い; ありそうな,"起こりうる、または真実である可能性が非常に高いことを示す。"
bed,ベッド,"寝たり休んだりするために使う家具。"
brother,兄; 弟,"同じ両親から生まれた男性の兄弟。年長の男性を指す場合（兄）、または年下の男性を指す場合（弟）がある。"
egg,卵,"鳥や爬虫類などが産む、硬い殻に包まれた丸い形のもの。主に食物として使われる。"
ride,乗る; 乗車,"乗り物（自転車、車、馬など）に乗ること。または、その乗り物での移動。"
cell,細胞; 電池; 小部屋,"生物の基本的な単位。または、電気エネルギーを供給する装置。刑務所などの小さな部屋も指す。"
believe,信じる,"真実である、または存在すると考える。誰かの言うことが本当だと思うこと。"
fraction,分数,"全体の一部分を示す数、特に分子を分母で割ったもの。"
forest,森; 森林,"多くの木が生い茂っている広い土地。"
sit,座る,"椅子や地面などに腰を下ろすこと。"
race,競争; 人種,"速度や能力を競うこと。または、共通の祖先、外見、文化を持つ人々の集団。"
window,窓,"建物の壁などに開けられた、光を取り入れたり外を見たりするための開口部で、ガラスなどがはめ込まれているもの。"
store,店,"商品やサービスを販売する場所。"
summer,夏,"一年で最も暑い時期。春と秋の間。"
train,列車; 電車; 訓練する,"レール上を走る乗り物。または、技術や能力を高めるために練習すること。"
sleep,眠る; 睡眠,"休息のために意識を失うこと。またはその状態。"
prove,証明する; わかる,"何かがあるいは真実であることを証拠によって示すこと。また、特定の性質や結果を持つことがわかること。"
lone,孤独な; 一人きりの,"他の誰とも一緒でない様子。孤立している、または単独であることを示す。"
leg,足; 脚,"動物や人間の体を支え、歩いたり立ったりするための体の部位。"
exercise,運動; 練習; 訓練,"健康や体力を保つために体を動かすこと。特定の技術や知識を習得するための反復的な活動。"
wall,壁,"建物や部屋を囲む垂直の面。"
catch,捕まえる; 気づく,"動いている人や物を追いかけて手に入れること。また、何かを理解したり気づいたりすること。"
mount,乗る; 設置する; 登る,"自転車や馬などにまたがって乗る。何かを固定して設置する。山などに登る。"
wish,願う; 願い,"何かを手に入れたい、または実現したいという強い気持ち。またはその気持ちを表す行為。"
sky,空,地球上から見える上空の空間。
board,板; 委員会; 乗り物に乗る,"平らで細長い木材や他の素材。組織の決定を下すグループ。飛行機や船などに乗り込むこと。"
joy,喜び; うれしさ,"幸福感や満足感を伴う強い感情。楽しさや陽気な気持ち。"
winter,冬,"一年の中で最も寒く、通常は雪が降る季節。"
sat,座った,座る（sit）の過去形および過去分詞形。
written,書かれた; 筆記の,"書く行為によって作られたもの。書面による。Writeの過去分詞形。"
wild,野生の; 荒々しい,"自然に生息している、人に飼育されていない状態。または、制御されていない、荒っぽい、予測不可能な様子。"
instrument,楽器; 手段; 器具,"音楽の演奏に使われるもの。または、特定の目的を達成するための道具や手段。"
kept,保たれた; 預けられた,"keep（保つ、預けるなど）の過去形および過去分詞。"
glass,ガラス; コップ,"主に透明な素材で、窓やびんに使われる。また、液体を飲むための容器。"
grass,草,"植物の葉のような細長い緑色の部分で、地面を覆っているもの。またはその全体。"
cow,雌牛; 牛,"ウシ科の動物で、特に成体の雌。牛乳を出し、肉として食べられる。"
job,仕事; 職務,"お金を稼ぐために行う作業や義務。特定の役職や地位を指すこともある。"
edge,端;へり,"物体の外側や終わりの部分。鋭利な部分も指す。"
sign,兆候; 合図; 標識,"何かを示すしるしや記号。未来の出来事の予兆や、指示を与えるための印。"
visit,訪れる; 訪問,"誰かに会うために、または場所を見るために行くこと。"
past,過去,"現在よりも前の時間、または過去の出来事。"
soft,柔らかい; 穏やかな,"触ったときに硬くない、または強くない状態。音などが静かで優しい様子。"
fun,楽しい; 楽しみ,"娯楽や喜びを感じさせること、またはその状態。遊びや活動が面白く、満足できる様子。"
bright,明るい; 輝く,"光が多く、よく見えるさま。または、希望に満ちている、利発であるさま。"
gas,ガス,気体状の物質、特に燃料として使われるものを指す。
weather,天気; 天候,"大気の状態（例：雨、晴れ、曇り、風など）。"
month,月,"1年を約12に分けた期間。約30日。"
million,百万,"数の単位で、1の後に0が6つ続く数（1,000,000）。"
bear,クマ; 運ぶ; 耐える,"大型の哺乳類。また、何かを運んだり、困難に耐えたりすること。"
finish,終える; 終り; 完了する,"何かを全部やり遂げること、または何かの最後の部分や状態。"
happy,幸せな; 嬉しい,"気分が満たされていて、喜びに溢れている状態。"
hope,希望; 望む,"良いことが起こることを願う気持ちや、その可能性。"
flower,花,"植物の、多くの場合色や匂いのある部分。多くの場合、実を結ぶ。特に切り花として観賞用に用いられる。"
clothe,服を着せる; 衣装,"誰かに服を着せる行為、または特定の種類の衣類全般を指す。"
strange,奇妙な,普通ではない、理解または説明が困難な様子。
gone,行った; なくなった,"行ってしまってもういない状態。または、存在しなくなった、使い果たされた。"
jump,跳ぶ; ジャンプする,"地面を離れて空中へ素早く移動する動作。ぴょんと飛び上がる。"
baby,赤ちゃん; 幼児,"生まれて間もない人間。"
eight,8; 八,"数字。7の次に来る数。"
village,村,"比較的小さい人の居住区。"
meet,会う; 出会う,"人に出会ったり、面会したりすること。また、会議などで集まること。"
root,根; 根本,"植物の地下部分。また、物事の起源や原因。"
buy,買う,"お金を払って何かを手に入れる行為。"
raise,上げる; 育てる; 募集する,"物を高い位置へ動かすこと。子どもや作物を育てること。資金などを集めること。"
solve,解決する; 解く,"問題や疑問に対し、答えや解決策を見つけ出すこと。"
metal,金属,"鉄、銅、アルミニウムのように、光沢があり電気や熱をよく伝える固体物質。"
whether,〜かどうか,"二つの選択肢のどちらかが真実であるか、または何かが不確かであることを示す接続詞。"
push,押す; プッシュ,"前に向かって力を加えて動かすこと。ボタンなどを押す操作。"
seven,七; 7,"数を数えるときに使われる整数のうちで、六の次で八の前の数字。"
paragraph,段落,"文章全体の中で、互いに関連する考えや情報を含む独立した区切り。"
third,第三の,"3番目の、順序や位置が3番目であることを示す。"
shall,〜でしょう; 〜しましょう; 〜するべきである,"未来の行動、提案、約束、または義務を示す助動詞。"
held,持つ; 行われる,"holdの過去形・過去分詞。何かを手に保っていた状態、または会議やイベントなどが行われたことを示す。"
hair,髪; 毛,"頭や体から生える細い繊維状のもの。"
describe,説明する; 記述する,"人や物事の特徴や様子などを言葉で伝えること。"
cook,料理する; 料理人,"食べ物を熱して調理する行為、またはそれを職業とする人。"
floor,床; 階,"建物の表面、または建物の各階層。"
either,どちらか一方の; あるいは,"「AかBか」の選択肢のうち、どちらか一つを表す。否定文とともに使われる場合、どちらも〜ない、という意味になる。"
result,結果; 成り行き,"ある行動や出来事によって生じる、最終的な状況や成果。"
burn,燃やす; 焦がす; 炎上する,"火をつける、または火によって破壊されること。熱によって損傷を受けることも意味する。"
hill,丘,"地面が周囲よりも盛り上がっている小さな山。"
safe,安全な; 無事な,"危険がなく、傷つけられたり失われたりする可能性が低い状態。"
cat,猫,"ネコ科の、屋内でペットとして飼われることの多い小さな哺乳類。"
century,世紀; 100年間,"100年間を指す時間の単位。"
consider,考える; 検討する,"何かについて注意深く考えたり、決定を下す前に詳しく調べたりすること。"
type,種類; 型; タイプ,"分類されたもののグループやカテゴリー。特定の形式やスタイル。"
law,法; 法律,"社会の規則や制度で、政府が定め、強制する決まり。"
bit,少し; 断片,"小さな量や部分。情報の最小単位。"
coast,海岸; 沿岸,「海、湖、または大きな川の岸。陸と水が出会う場所。」
copy,写し; 複写; コピー,"元のものと全く同じものを作るか、作られたもの。"
phrase,句; フレーズ,"単語がいくつか集まって、文の中で一つのまとまった意味や働きをするもの。"
silent,静かな; 無言の,"音を立てない、または言葉を発しない状態。"
tall,背が高い,身長が高いこと、または建物の高さがあること。
sand,砂,砂浜などの細かい岩石や貝殻の破片が集まったもの。
soil,土壌; 土,"地面の表面にある、植物が育つための物質。"
roll,転がる; 巻く; 回る,"丸い形をしたものが表面を移動すること。または、薄いものを円筒形にすること。"
temperature,温度; 気温; 体温,"物体の熱さや冷たさの度合いを示す物理量。天気や体調について話す際にも使われる。"
finger,指,"手足の先端にある細長い部分。"
industry,産業; 工業,"経済活動の一部で、特定の種類の製品やサービスを生産する事業全体。"
value,価値,"何かや誰かが持つ、重要性や有用性の度合い。"
fight,戦い; 戦う,"争いや論争のこと。また、物理的または言葉で相手と争う行為。"
lie,横になる; 嘘をつく,"体を平らに休めること。または意図的に真実ではないことを話すこと。"
beat,打つ; たたく; 負かす; 鼓動,"繰り返し何かを打ったりたたいたりすること、または競争相手に勝つこと。心臓が規則的に動く音も指す。"
excite,興奮させる; わくわくさせる,"強い感情や興奮を引き起こすこと。"
natural,自然の; 天然の; 当たり前の,"人工的でない、または人為が加わらずに存在する様子。また、当然であることや不自然でない状態を指す。"
view,眺め; 景色; 見解,"目で見たもの（特に風景など）、または意見や考えを指す。"
sense,感覚; 意味,体を使って得られる知覚（視覚、聴覚など）や、言葉が持つ意味。物事を理解する能力も含む。
ear,耳,音を聞くための体の器官。
else,他の; 別に; さもないと,"それ以外の。別のもの、人、または場所を指す。"
quite,かなり; けっこう,"程度が予想よりも高いことを示す副詞。完全にではないがある程度。"
broke,無一文の; 破産した,"お金が全くない状態。または、経済的に破綻した状態。"
case,場合; 事例; 箱,"特定の状況や出来事; 何かの具体例; 物を入れるための容器。"
middle,真ん中; 中央,"中心または等しい距離にある場所や物。中間の部分。"
kill,殺す,"人、動物、または生命体を死に至らしめること。行動を終わりにする、または計画を台無しにすることにも使われる。"
son,息子,"自分の男性の子供。"
lake,湖,"水で満たされた大きな自然の窪地で、周囲が陸地で囲まれているもの。"
moment,瞬間; 時,"非常に短い時間のこと。特定の時点や大切な機会も指す。"
scale,規模; はかり; うろこ,"物事の大きさや程度。重さを量る道具。魚などの体表を覆う硬い皮。"
