english_word,native_translation,definition_zh
listen,听,用耳朵感知声音；注意倾听。
six,六,"数字 '6' 的中文表达。"
table,桌子,"一种有表面和通常有四条腿的家具，用于放置物品或吃饭、工作等。"
travel,旅行；旅游,"从一个地方到另一个地方；为了娱乐或工作而进行的长途旅行。"
less,较少的；更少的,"表示数量、程度或重要性比另一事物小。"
morning,早晨；上午,"指一天中从日出到中午前的这段时间。"
ten,十,"表示数字10。"
simple,简单的；朴素的,"容易理解、做或学习的，不复杂的；不花哨的，朴实的。"
several,几个；若干,"表示数量不止两个，但不多。"
vowel,元音,"发音时气流通过口腔不受阻碍的声音。"
toward,朝；向,"表示朝着某个方向移动或指向某个地方；也可表示对某人或某事采取某种态度。"
war,战争,"国家之间或团体之间为达成政治目的而进行的武力、暴力冲突。"
lay,放置；躺下,"表示轻柔地放下某物；表示身体平躺。"
against,反对；对抗,"表示反对某事或某人；表示与…相对抗或相比较；表示紧靠着某物。"
pattern,模式；式样,"重复出现的形状、线条或设计；事物发展或变化的规律性。"
slow,慢,移动、进行或反应的速度不快；需要较长时间的。
center,中心；中央,"一个区域的中间；重要的地点或焦点。"
love,爱；喜欢,"表示强烈的喜爱、热情或深厚的情感；也可指喜欢某事或某人。"
person,人,"指有思想、有感情、会说话的个体；泛指人们。"
money,钱；货币,"用于购买商品或服务的东西；国家发行的流通媒介。"
serve,服务；侍候,"为他人提供帮助或有用的东西；在餐馆或商店为顾客提供食物或商品；为国家或组织工作。"
appear,出现；看来,"表示变得看得见或开始存在；也表示似乎、好像是。"
road,路；道路,"供车辆、行人等通行的地面；特指连接不同地方的通道。"
map,地图,"用于表示地理区域或特定地点的平面图或导航工具。"
rain,雨；下雨,"从天空落下的水滴；表示天空落下了水滴。"
rule,规则；统治,"指一套指导或限制行为的原理或规定；也指管理或控制国家或地区。"
govern,统治；管理,"指某人或团体对某个国家、地区或组织进行政治上的领导和管理；也指影响或决定某个事物。"
pull,拉；拽,"用手或工具向自己或某个方向使力以便移动某物；也指吸引、引起某事发生。"
cold,冷的；感冒,"指温度低，感觉凉；也指一种常见的疾病，症状包括打喷嚏和咳嗽。"
notice,公告；布告；通知,写下来或印刷出来的官方声明或信息；也指引起注意或被看到或听到。
voice,声音；嗓音,"指人或动物发出的声音，尤其是指说话或唱歌的声音；也指表达意见或情感的权利。"
unit,单元；单位,"表示独立的、可测量或可识别的部分；也可指标准的计量单位。"
power,力量；权力；功率,"表示能够做某事或影响事物的能力；也指控制或统治他人的权力；在物理学中指做功的速率。"
town,市镇；城镇,"比城市小但比村庄大的居住区，通常有商店、学校和政府建筑。"
fine,好；罚款,"表示好的、不错的、健康的；也指因违法行为而支付的钱。"
certain,确定的；无疑的，,"表示某种事物是真实的、无疑的或肯定会发生的；也可指某个但不确定具体是谁或什么。"
fly,飞,"指鸟、昆虫或飞机在空中移动；也可以指乘坐飞机旅行。"
fall,落下；跌倒,"表示物体从高处向下降落；表示人或动物失去平衡倒下。"
lead,带领；领导；铅,"表示引导、指挥行动或方向；也指一种化学元素，符号为 Pb。"
cry,哭；叫喊,"因为伤心、疼痛等原因流眼泪或发出声音；大声喊叫。"
dark,黑暗的；阴暗的,"指光线很少或没有光线；也指颜色深。"
machine,机器,"用于执行特定任务的设备，通常涉及移动部件或电子元件。"
note,笔记；便条；音符,"表示写下来的简短记录，用于提醒或提供信息；也可以指音乐中的一个声音信号。"
wait,等待；等候,"停止活动，直到某事发生或某人到来。"
plan,计划,事先想好行动步骤或要达到的目标。
figure,数字；人物；身材；图形,表示数字、数量或形状；也指重要的人物；或人的体型。
star,星；星星,"指夜空中发光的球状天体；也指在表演艺术、体育等领域有很高知名度的人。"
box,盒子；箱子,"通常为方形或长方形的容器，用于存放或运输物品。"
noun,名词,"指人、地方、事物、想法或概念的词。例如 '桌子'、'北京'、'快乐'。"
field,田；字段,"一片开阔的土地，通常用于种植庄稼或放牧动物；计算机或表格中的一个特定数据项区域。"
rest,休息；剩余,停止活动或劳作以恢复体力；指剩下的或未使用的部分。
correct,正确的；纠正,"没有错误的；符合事实或标准的；使某物没有错误或符合标准。"
able,能够；有能力的,"表示有能力做某事；有技能或力量去做某事。"
pound,磅；英镑,"重量单位，约等于0.453千克；英国、爱尔兰等国的货币单位。"
done,完成；做好,"表示某事已经结束或已经做好。"
beauty,美；美丽,"指令人愉悦或欣赏的特质，通常与外表、艺术或自然有关。"
drive,开；驾驶；驱赶,"表示操作车辆使其移动，如开车或驾驶；也可指迫使某人或某物移动或做某事（如驱赶动物）；或指强烈的欲望驱动（如被好奇心驱使）。"
stood,站；立,"stayed in a vertical posture on the feet。"
contain,包含；含有,"指物体、容器或空间内部有某物；也指某种物质含有某种成分。"
front,前面；前部,"指某物的正面或最靠前的一部分；也指站在或位于某人的前面。"
teach,教；教授,"将知识或技能传授给他人。"
week,周；星期,"连续七天组成的时期；从星期一到星期日或从星期日到星期六。"
final,最后的；结局,"表示列表、过程或事件的最后一个；最终结果或结论。"
gave,给了；给予了,"给（give）的过去式，表示过去将某物送给或交给某人。"
green,绿色,表示植物叶子或未成熟水果的颜色；也可指环保或新手。
oh,哦；啊,"用于表示惊讶、理解、疼痛或作为对话的开始。"
quick,快的；迅速的,"表示速度快，动作敏捷或事情发生得很快。"
develop,发展；开发,"使某事物成长壮大、变得更好的过程；设计并制造出新的产品或系统。"
ocean,海洋；大海,"地球表面被海水覆盖的广阔区域。"
warm,暖和的；温暖的；加热,"感觉、保持或制造出高于周围环境但又不烫的温度；友好且充满热情。"
free,自由的；免费的,"表示不受限制或束缚；也表示不需付费。"
minute,分；分钟,"时间单位，等于六十分之一小时；非常短暂的时间。"
strong,强壮的；强大的；结实的,"表示体力或力量大；表示组织或影响力大；表示不容易损坏或断裂。"
special,特殊的；特别的,"指不同寻常的、独特的或具有特定重要性的。"
mind,头脑；介意,"指思考、感知和意识的能力；也指在乎、反对或担忧某事。"
behind,在后面；落后,"表示位置在……背后；表示发展、进度等方面不如别人。"
clear,清楚的；清晰的；清除,"容易看或理解；没有障碍物；移除或清理掉。"
tail,尾巴,"动物身体末端像肢体一样摆动的部分。"
produce,生产；制造,"指创造、制造或生长物品；也指农产品。"
fact,事实,指已经发生或被证明为真实的事情或情况。
street,街道；马路,"指城镇中房屋之间铺设的道路，供车辆和行人通行。"
inch,英寸,"英尺的十二分之一，是一个长度单位。"
multiply,乘；乘以,"通过反复加上一个数或使其数量增加相同的倍数来进行运算。"
nothing,没有东西；无,"表示不存在任何事物；空无一物。"
course,课程；当然,"指一系列课程或学习单元；也可表示顺其自然或预期的事情（例如 '当然会下雨'）。"
stay,留；停留；住宿,"表示在某个地方一段时间；表示暂停移动；表示暂住在某处。"
wheel,轮子,"圆形物体，通常用于车辆、机器等，绕轴转动以便移动或工作。"
full,满；饱,"表示充满、完全具备或达到最大限度；饮食后感到满足。"
force,力量；强制,"表示物体运动或改变状态的原因；也指强迫、迫使做某事。"
blue,蓝色,"表示天空或大海的颜色；也表示忧伤或沮丧的心情。"
object,物体；目标；反对,"指一个具体的、可以看见或触摸到的东西；也可指试图达到或完成的事情；还可以指不同意（某事）。"
decide,决定；下决心,"选择一个选项，尤其是在有多种可能性的时候；做出最终的选择或判断。"
surface,表面；外观,"指物体的外层或外部；也指事物呈现出来的样子或给人留下的印象。"
deep,深的,表示从表面到下方或后面距离较远的，或涉及事物更本质或复杂的部分。
moon,月亮,地球的天然卫星，环绕地球运行，夜间在天空中可见。
island,岛,"四面环水的陆地。"
foot,脚；英尺,"人或动物的肢体末端，用于站立、行走；长度单位，等于12英寸，约合30.48厘米。"
system,系统；体系,"由相互关联的部分组成的整体；一套组织起来的方法或原则。"
busy,忙碌的,"表示有很多事情要做，没有空闲时间或闲暇。"
test,测试；试验,"为确定某物的功能、质量或性能而进行的检查或过程。"
record,记录；唱片,"指关于事件的信息的文字或声音保存；也可指记录声音的圆形塑料片。"
boat,船,"一种用于水上交通或休闲的小型开放式船只。"
common,常见的；普通,"指经常发生、普遍存在或不特别、不独特的。"
gold,金；黄金,"一种贵重的黄色金属元素，通常用于制造硬币、珠宝和装饰品。"
possible,可能；可能的,"有可能发生或存在的；符合逻辑的；在能力范围内的。"
plane,飞机；平面 vehicle that flies in the air; a flat surface
stead,地方；位置,"指某个 स्थान 或 定位。"
dry,干的；干燥,"缺少湿气或水分的状态；不湿润。"
wonder,想知道；奇迹,"表示想知道某事是否属实或会发生什么；表示令人惊奇或赞叹的事物。"
laugh,笑,"发出声音表示快乐或有趣。"
thousand,千,"表示数量上的一千个。"
ago,以前；之前,"表示时间过去已有多久。"
ran,跑；奔跑,"是动词 run 的过去式，表示过去的时间进行了跑步或奔跑的动作。"
check,检查；查看；核实,"表示仔细查看或检验某物以确保其正确、安全或符合要求；也可指查看或确认某事。"
game,游戏；比赛,"一种玩耍、娱乐或竞争的活动，通常有规则。"
shape,形状；身材,"物体的外形或轮廓；人的体型或体态。"
equate,等于；等同于,"将某物视为与另一物相同或相等；在数学上表示两者数值相等。"
hot,热；烫,"温度很高；摸起来感觉很热；形容辛辣的味道。"
miss,想念；错过,"表示对某人或某事的思念；也表示没有抓住机会或没有达到目标。"
brought,带来,"表示将某人或某物从一个地方带到另一个地方；bring的过去式和过去分词。"
heat,热；加热,"表示物体温度升高或高温的状态；也表示使物体变热。"
snow,雪,"以雪花形式从空中掉落的冰晶；也指这种冰晶的堆积物。"
tire,轮胎；疲倦,"指车辆上的圆形橡胶环；指使人感到疲劳。"
bring,带来；拿来,"表示把某人或某物从一个地方带到另一个地方，通常是说话人所在的地方。"
yes,是；对；好,"表示同意、肯定或回答问题时用。"
distant,遥远的；疏远的,"表示空间或时间上的距离很远；也可指人际关系不亲近、冷淡。"
fill,装满；填满；填写,"表示使容器、空间或物体变满；也可指填充空白或表格。"
east,东,"指南针上的一个主要方向，与西相对。"
paint,画；颜料,用颜色涂抹物体表面，或指用于涂色的物质。
language,语言,人类（或动物）用来交流的文字或声音系统；计算机用来执行指令的编码系统。
among,在...之间；在...之中,"表示某人在或某物在一群人或事物里面，或者表示属于某个群体的一部分。"
grand,宏伟的；盛大的；重要的,"表示非常大、壮观或令人印象深刻；也表示重要的或高级的。"
ball,球,"通常指圆形或球形的物体，用于游戏或运动；也可指舞会。"
yet,还；仍然；但是,"表示某事直到现在还没有发生（例如 '还没来'）；表示尽管如此但仍旧（例如 '虽然累，但仍要继续'）；表示转折，与 '但是' 类似。"
wave,波；挥手,"水面起伏；用手或物体摆动。"
drop,落下；滴；下降,"表示某物从高处掉下；液体形成小滴；数量或程度减少。"
heart,心,表示人体或动物的器官，负责血液循环；也可指情感、感受或内心。
am,是,"动词be的一种形式，用于第一人称单数现在时，例如“我是学生”。"
present,送；给予；现在；目前的,"交付某物作为礼物；提供或展示；当前的时间或事物；目前的、当前的。"
heavy,重的；沉重的,"表示物体有很大的重量，难以提起或移动；也可表示份量大或程度深（例如 '大雨'；'沉重的心情'）。"
dance,跳舞；舞蹈,"用身体随着音乐做有节奏的动作；指一种通过身体运动来表达情感或故事的艺术形式。"
engine,发动机；引擎,"一种将能量转化为动力从而产生运动的机器。"
position,位置；职位,"指的是物体、人或地方所处的位置或地点；也指在组织、公司等中的职务或职位。"
arm,手臂；武装,"身体从肩到手的部分；武器，兵器；用武器装备某人或某物。"
wide,宽的；广阔的,"指距离或范围很大；也可指视野或知识很广。"
sail,航行；帆,"指乘船或行驶船只，尤其是利用风力；也指船上的帆布。"
material,材料；物质,"构成事物的基础成分或物质；也指用于制作或建造的物品。"
size,大小,"指物体或空间的尺寸、规模或体积。"
vary,变化；不同,"（使）改变；在不同情况或条件下显示不同；（物）各自不同。"
settle,解决；安定,"表示结束争端或分歧；表示在一个地方定居下来。"
speak,说；讲,"用口头表达想法、感受或信息；指会用某种语言进行交流。"
weight,重量；体重,"物体因重力而受到的力的大小；人或动物的身体重量，通常用作衡量胖瘦的指标。"
general,总的；一般的,"表示普遍的、涵盖广泛的（与'具体的'相对）；表示常见或通常的。"
ice,冰,"液体水在低温下的固体形式。"
matter,事情；要紧,"指某一事件、事物；也指重要或值得关注的事情。"
circle,圆；圈,一种圆形、关闭的曲线；也可指围绕某物移动或聚集的一群人。
pair,一对儿；一双,"指两个相同的东西，它们通常用作一个整体或是一套。"
include,包括；包含,"将某事物或某人作为整体的一部分放入或列入。"
divide,分开；划分,"将整体分成几部分；分配或分享。"
syllable,音节,"构成单词发音的基本单位，通常包含一个元音音素。"
felt,感觉；觉得,"动词 'feel' 的过去式和过去分词，表示用感官体验到、意识到或通过触摸感受到。"
perhaps,也许；可能,"表示不确定或可能发生的情况。"
pick,捡；挑选；选择,"用手或其他工具取出或收集；从一组选项中选出；决定要什么。"
sudden,突然的；忽然,"表示快速且出乎意料地发生或出现。"
count,数；计数,"计算总数；计算到某个数字；重要或有价值。"
square,广场；正方形；平方,表示一个四边相等、四个内角都是直角的图形；也可以指城镇中心的一块空地，通常是公共场所；在数学中表示一个数自乘两次的结果。
reason,原因；理由,"解释为什么某事发生或某人做某事的理由。"
length,长度,"物体或时间的测量或尺寸；（例如，从头到尾的）距离。"
represent,代表；代理,"表示代某人或某物行事；也表示象征或体现某个概念或特征。"
art,艺术,"指人类创造的、表达思想或情感的作品，如绘画、雕塑、音乐、文学等。"
subject,主题；科目；臣民,"讨论、思考或研究的对象；在学校学习的课程；一个国家或统治者的臣民。"
region,区域；地区,"指因地理、文化或其他特征相似而形成的一块较大的地方。"
energy,能量；精力,"做功的能力，活动的动力；人的活力和精神。"
hunt,打猎；寻找,"追逐并捕杀野生动物（作为运动或获取食物）；努力寻找（例如：找工作）。"
probable,很可能的,非常有希望的,"表示某事很有可能发生或很可能是真实存在的。"
bed,床,"睡觉或休息用的家具。"
brother,兄弟；哥哥；弟弟,"指同父母所生的男性；也泛指意气相投的男性朋友。"
egg,蛋；鸡蛋,"指鸟类，尤其是鸡，产的椭圆形物体，通常用来吃。"
ride,骑；搭乘,"坐在动物（如马）背上或交通工具（如自行车、汽车）中 이동。"
cell,细胞；牢房,"生物体的基本单位；监狱中的小房间。"
believe,相信；认为,"认为某事是真的或存在的；对某人或某事有信心。"
fraction,分数；一小部分,"表示整体的一部分，特别是数学中两数相除的结果；也可表示少量或很小的部分。"
forest,森林,"大片生长着树木的区域，通常也包括灌木、植物和野生动物。"
sit,坐,"以臀部着地的姿势，通常坐在椅子、地面或其他表面上。"
race,比赛；种族,一种竞赛，看谁最快或最好；指人类或动物的分类。
window,窗户,"建筑物墙壁上的开口，通常带有玻璃，可以透光和通风。"
store,商店；储存,"销售商品的场所；把东西存放起来以备后用。"
summer,夏天,一年中最热的季节，通常在春季之后、秋季之前。
train,火车；训练,"一种沿着轨道行驶的交通工具；教育或指导某人学习技能或发展习惯。"
sleep,睡觉；睡眠,"指身体进入一种休息状态，意识减退，通常通过闭眼来完成；也可指这种休息状态本身。"
prove,证明；证实,"提供证据来表明某事是真实的或正确的；通过经验表明某件事的性质或能力。"
lone,孤独的；单独的,"表示一个人或事物独自存在，没有同伴或其他人。"
leg,腿,"人的或动物的用来行走或站立的身体部分。"
exercise,练习；运动,"指为了增强身体健康而进行的活动；也指为了熟练掌握技能而做的练习。"
wall,墙,"建筑物或房间的垂直表面；一种分隔或围住区域的结构。"
catch,抓住；赶上,"抓住、接住或拦截移动中的物体或人；也表示赶上或达到某个状态或时间。"
mount,登上；安装；增加；山峰,"表示往高处攀登或上升；表示把东西固定或放在一起；表示数量或强度的增加；也可指山或山峰，尤指高山。"
wish,希望；愿望,"希望某事发生或实现；一个想要发生或实现的事情。"
sky,天空；天,"地球大气层或宇宙空间对人的视觉形成的印象；在地球表面上方看到的大范围空间。"
board,板；董事会,"一片平坦、通常较硬的材料（如木板、纸板）；管理公司或组织的最高层群体。"
joy,喜悦；快乐,"表示非常高兴或感到快乐。"
winter,冬天,一年的四个季节之一，天气通常寒冷，白雪可能落下。
sat,坐；坐下,指人或动物身体坐着的状态或动作，通常指臀部着地。
written,书写；写成的,"表示某个内容已经被写下来或以书面形式存在。"
wild,野生的；野的,"指生长在自然环境中，未经驯化或栽培的；也可指未经雕琢、不受拘束的。"
instrument,乐器；仪器；工具,"用于奏乐的器具；用于测量、控制或执行特定功能的设备；实现某个目的的手段。"
kept,保持；保管,"动词keep的过去式和过去分词，表示继续保持某种状态，或将某物保存起来。"
glass,玻璃；杯子,"一种硬而脆的透明材料；用这种材料制成的杯状容器。"
grass,草,"植物的一种，通常指叶子细长、绿色、生长在地上的。"
cow,牛,"一种雌性家畜，能产奶，常被饲养以提供肉和奶。"
job,工作；职业,"指一个人为了赚钱或完成任务而做的有规律的活动或岗位。"
edge,边缘；优势,指物体最外面的部分；也指在竞争中拥有的有利条件。
sign,标志；招牌；迹象,"表示某种事物的存在、意义或方向的图形、文字或符号；商店或企业的名称牌；预示或表明某种情况发生的征兆。"
visit,参观；拜访；访问,"去某个地方或看望某人。"
past,过去,已过的时期或时间
soft,软的；温和的,"表示不硬、容易变形；也可表示声音或光线不强；或态度、性格温和。"
fun,乐趣；娱乐,"表示愉快、令人享受的活动或体验；指有趣的事情。"
bright,明亮的；聪明的,发出强光或色彩鲜艳的；指人聪明、理解力强。
gas,气体；汽油,"一种没有固定形状的物质，如空气或蒸汽；也指用作燃料的一种液体，如用于汽车的。"
weather,天气,"指一个地方或特定时间的大气状况，如晴、雨、风等。"
month,月；月份,"时间单位，一年分十二个月。"
million,百万,"一百万；表示数量巨大。"
bear,熊；承受；忍受,"一种大型哺乳动物，通常毛皮厚实；承担或忍受（例如重担或困难）。"
finish,完成；结束,"表示做某件事或达到目标的最后阶段，使其不再继续；也可以指某物到了尽头。"
happy,高兴；快乐,"感到或表现出愉快和满足。"
hope,希望,"一种对某种结果、事件或情况的期望或愿望；表示对未来的积极看法。"
flower,花,"植物的一部分，通常颜色鲜艳，形状美丽，用于开花并结种子。"
clothe,穿衣；给…穿衣,"指穿上衣服；也指给（某人）穿上衣服。"
strange,奇怪的；陌生的,"不寻常的、出乎意料的或难以理解的；不熟悉的人或地方。"
gone,走了；离开；过去,"指某人或某物已不在原地；指时间或机会已溜走或消失。"
jump,跳；跳跃,"用脚使身体突然向上或向前移动，离开地面。"
baby,婴儿；宝贝,"指出生不久的孩子；也可用作对亲密的人的爱称。"
eight,八,"数字，介于七和九之间。"
village,村庄；乡村,"指由房屋组成的较小聚居地，通常在农村地区。"
meet,遇见；开会,"指与某人首次相识或依照约定会面；也指人们聚集在一起讨论或做某事。"
root,根,"植物的地下部分，用于固定植物和吸收水分养分；事物的起源或基础。"
buy,买,"用钱换取商品或服务。"
raise,提高；举起；抚养,使位置更高；向上移动物体；养育孩子或动物。
solve,解决；解答,"找到问题的答案或克服困难。"
metal,金属,"一种坚硬、有光泽的材料，通常能导电导热。"
whether,是否；是不是,"用于引出疑问，表示选择、不确定或可能性。"
push,推；按,"用力向前或向旁边移动（某物）；按下（按钮等）。"
seven,七,"表示数字“7”。"
paragraph,段落,"文章或书籍中相对独立的、由一个或多个句子组成的部分，通常围绕一个主要思想。"
third,第三,"表示顺序上的第三个，排在第二之后。"
shall,将要；必须,"表示将来可能发生或被期望发生的事情；在正式场合表示某种义务或规定。"
held,举行；抓住,过去式和过去分词，表示“拿着”、“举行”或“保持”的状态。
hair,头发；毛发,"人和哺乳动物生长在头皮或身体其他部位的细丝状物质。"
describe,描述；形容,"用语言说明某人或某物的特征、外观或性质。"
cook,做饭；烹饪,指通过加热准备食物的过程。
floor,地板；层,"建筑物内部的平面部分，供人行走或放置物品；指一层楼。"
either,要么；或者；两者之一,"用于连接两个或多个选择（例如 '要么这个，要么那个'）；或指两者中的任意一个。"
result,结果；导致,"指某个行动、事件或情况所造成的终点或影响；也可用作动词，表示引起或导致某事的发生。"
burn,燃烧；烧伤,"通过火或热损坏或摧毁；被火、热或化学物质损害。"
hill,小山；山丘,"比山小，比平地高出许多的自然地形。"
safe,安全的；保险箱,"没有危险、受到保护的状态；一个用来存放贵重物品的坚固上锁的盒子。"
cat,猫,"一种常见的驯养动物，通常有皮毛和尾巴，有时被当作宠物。"
century,世纪,一百年的时期。
consider,考虑；认为,"仔细思考；觉得（某人或某事）是某种情况。"
type,类型；打字,"表示类别、种类；用键盘输入文字。"
law,法律；法规,"国家制定或认可的社会行为规范的总称。"
bit,一点点；少量,"非常小的数量或部分；计算机中最小的信息单位。"
coast,海岸；沿海,"陆地与海洋相接的地方；靠近海边或沿海的区域。"
copy,复制；副本,"模仿某物或制作其相同版本；某物的复制品。"
phrase,短语,"由两个或更多词组成的单元，在语法上像一个独立的成分，但不是一个完整的句子。"
silent,沉默的；寂静的,"指没有声音的；不说话或没有发出声音的。"
tall,高的,"形容人、动物或物体的高度超过一般水平。"
sand,沙子,由岩石碎裂成的细小颗粒，通常在海滩、沙漠或河流中发现。
soil,土壤；泥土,"地球表面由矿物质和有机物组成的松散层，用于种植植物。"
roll,卷；滚动,"指物体围绕轴心旋转；也可以指将某物卷起来，如纸张。"
temperature,温度,"表示物体的冷热程度；衡量热能的量度。"
finger,手指,"人体手掌前端的细长部分，通常有五个。"
industry,工业；行业,"指制造商品或提供服务的系统性活动；也可指某个特定的经济领域。"
value,价值；重视,"指某物因其重要性或有用性而拥有的属性或重要程度；也指认为某人或某事物很重要并给予高度评价。"
fight,打架；斗争,"表示为击败或控制某人或某事而使用武力；也可表示为争取某事而努力。"
lie,说谎；躺,"说谎指故意说不真实的话；躺指身体平放。"
beat,打败；击败；跳动,"在比赛或竞争中获胜；心脏的跳动。"
excite,激动；兴奋,"使某人感到非常开心或兴奋；激发（情感或感觉）。"
natural,自然的；天然的,"指存在于自然界，未经人工干预或改造的；也可指天生的、不做作的。"
view,看；看法,"指看见、看作或观察到；也指对事物的意见或观点。"
sense,感觉；意义,"一种身体或心理的感受能力，如视、听、嗅、味、触觉；事物所隐含的意义或道理。"
ear,耳朵,"听觉器官。"
else,其他；别的,"表示除了提到的以外的人、事物或情况。"
quite,相当；很,"程度上接近完全或很高，但不完全（例如 '相当不错'）；也可以表示完全或非常（通常带有强调语气，例如 '相当确定'）。"
broke,破产；身无分文的,"指没有钱了，尤其是由于债务或财务困难；也指没有钱；穷困。"
case,情况；案件；箱子,"指特定的事件、情形或情况；也可指法律上的诉讼或案件；还可以指用于存放或携带物品的容器。"
middle,中间；当中,"位于（某物或某时期）中心位置；平均的。"
kill,杀死；扼杀,使停止生命；终止；破坏
son,儿子,男性后代；男孩。
lake,湖,"大的内陆水体，被陆地包围。"
moment,时刻；瞬间,"指非常短的时间；也可指重要的或特定的时间点。"
scale,规模；刻度；磅秤；鳞,"指事物的大小、范围或程度；指尺子或测量工具上的标记；指称重量的设备；指动物的鳞片。"
loud,响亮的；大声的,"指发出非常大或容易听到的声音；也可以指颜色鲜艳或引人注目。"
spring,春天；春天,"四季之一，位于冬季之后、夏季之前；也指弹性物体或突然的跳跃或运动。"
observe,观察；遵守,"仔细地看或注意到某事物；按照某事物（如法律、习俗）行事。"
child,孩子；儿童,"指未成年的人。"
straight,直的；笔直的,"形容不弯曲或不倾斜的状态；也指坦率的、没有隐瞒的。"
consonant,辅音,"发音时声带受到部分或完全阻碍的音。"
nation,国家；民族,"指由同一政府统治的一块土地及其人民；也指具有共同文化、历史或语言的人群。"
dictionary,词典；字典,"一本列出词语及其含义、用法等的书。"
milk,牛奶；挤奶,"一种白色的液体，哺育动物的乳腺分泌；从乳腺中取出牛奶的行为。"
speed,速度,"物体移动得快慢；进展的快慢。"
method,方法；办法,"指做某事的方式、程序或体系。"
organ,器官；管风琴,"人体或动物体内具有特定功能的部位，如心脏或肺；一种大型的键盘乐器，通过空气吹过管子发声。"
pay,支付；付款,"为某物或某事付出金钱；支付债务或欠款。"
age,年龄；变老,"指人或事物存在的时间长短；也指经历时间而变老或成熟。"
section,部分；章节,整体中的一个部分或片段；书籍、文件或其他材料中的一个章节。
dress,连衣裙；穿衣,"一种通常由上衣裙子组成的女性服装；穿上衣服或服装。"
cloud,云,空气中由水滴或冰晶形成的 visible mass (visible mass)。
surprise,惊喜；出乎预料,"指突然发生的、令人吃惊或意外的事情，可以是好的（惊喜）或不好的。"
quiet,安静；寂静,表示缺少声音或声音很小；也指某地或某人不吵闹的。
stone,石头,"一种坚硬的、由矿物质组成的天然物体；也可指用于建筑或其他用途的石料块。"
tiny,极小的；微小的,"表示体积、大小非常小。"
climb,爬；攀登,"用手和脚向上移动，尤其是在陡峭或困难的表面上，例如山或墙。"
cool,酷；凉快的,"表示低温度但不是冷（例如 '凉快的天气'）；表示时尚、时髦或令人印象深刻（例如 '他看起来很酷'）；也可用作感叹词表示同意或赞同。"
design,设计,"创造新的东西或计划其如何运作或看起来。"
poor,贫穷的；可怜的,"指财产匮乏，没有钱或资源；也可指不幸的或值得同情的人或事物。"
lot,许多；很多,"表示大量的或很多数量。"
experiment,实验；试验,"为了验证假设或探索未知而在受控条件下进行的过程或活动。"
bottom,底部；屁股,"物体或空间的最低部分；人类或动物的臀部。"
key,钥匙；关键,"用于开锁的金属或塑料工具；比喻重要、解决问题的因素或线索。"
iron,铁,"一种常用金属元素，符号是Fe，坚硬，银白色；也指熨斗，用来熨烫衣服。"
single,单一的；单个的；单身的,"表示只有一个，不是多个；表示未婚或无伴侣的。"
stick,棍子；棒；枝；粘住,一种细长的木头或其他材料的物体，例如树枝；也指将物体附着或固定在另一个物体上。
flat,平的；公寓房；平底鞋,"形容词表示表面平整或没有高低起伏；名词指一套完整的由多个房间组成的住房单元，通常位于较大的建筑内；名词也可指没有高跟的鞋子。"
twenty,二十,"数字，表示20。"
skin,皮肤,"覆盖在人或动物身体表面的一层组织。"
smile,微笑；笑容,"表示高兴、友好或愉快时的面部表情。"
crease,折痕；褶子,"物体表面因折叠或挤压形成的线状痕迹；衣服、布料等上的永久性褶纹。"
hole,洞；孔,"物体或表面上的空隙；地面上的坑。"
trade,贸易；交易,"买卖货物或服务；交换某物以换取其他东西。"
melody,旋律；曲调,"由一系列音符组成，按照特定的顺序和节奏排列，形成一段音乐。"
trip,旅行；绊倒,"指外出到某个地方再返回的过程；也指在行走时被物体绊住而失去平衡。"
office,办公室,履行职责或提供服务的场所；公司的办公地点。
receive,收到；接到,"表示接收或取得某物或信息，例如收到礼物或信件。"
row,行；划船,"指一排人或物；也指用浆划船前进的动作。"
mouth,嘴；口,"人体面部用于吃、说话和呼吸的器官。"
exact,精确的；确切的,"表示非常准确、没有错误的；与事实完全相符的。"
symbol,符号；象征,"代表某种意义、思想或事物的图形、文字或物体。"
die,死；死亡,"表示停止生命活动，不再活着；也可以指停止运作或结束。"
least,最少；最不,"表示数量、程度或重要性最低的，与 '最多' 相对。"
trouble,麻烦；烦恼,"指困难、问题或令人烦心的事；也可指使得事情复杂的行为。"
shout,大喊；叫喊,"用非常大的声音说话或发出声音，通常是表达愤怒、兴奋或为了吸引注意力。"
except,除了,"表示排除或不包括某个事物、人或情况。"
wrote,写了,"'write' 的过去式，表示在过去某个时间完成了书写动作。"
seed,种子,"植物的胚胎，通常包含贮存的食物，可以生长成新植物。"
tone,音；语气,声音的高低或语气的强弱，能传达情感或意义。
join,加入；参加,"表示加入一个团体、组织或活动；也可指连接或联合在一起。"
suggest,建议；暗示,"提出意见或想法供人考虑；间接表示或联想到某事。"
clean,干净；清洁,"指没有污垢、杂物或污染；使某物变得干净。"
break,打破；休息,"使某物成为碎片或不再完整；暂停活动以便放松或休息。"
lady,女士；夫人,"对女性的一种礼貌称呼；也可指贵族的、高贵的女性。"
yard,院子；码,"房屋或建筑物周围的一块空地；英语长度单位，等于三英尺或约91.4厘米。"
rise,升高；上涨；上升,"表示向上移动；数量或程度增加；太阳、月亮等的出现。"
bad,坏的；拙劣的；差的,"表示不好、不令人满意、质量差或不道德的。"
